predicted_decile,n,weighted_population,avg_observed_expenditure,avg_predicted_expenditure
1,269,4448822.4971130015,116.44005955930618,2.9425518574807823
2,269,4370769.030841,781.3496844895345,245.46679517443056
3,269,4197713.969584999,1553.8657873240836,806.3929924442436
4,269,4080366.6132830004,2550.1868731433965,1651.9891335463117
5,269,3757864.959535003,6971.19241797162,2628.944551946801
6,269,3813241.1612799987,8402.112704616186,3827.4869479227764
7,269,3506825.023851999,10179.288857534739,5457.257594344918
8,269,3282839.9504750012,13160.423449981032,7784.575487531553
9,269,3021942.6363609997,15835.121264237969,11968.481468429167
10,269,3103297.1231580004,37927.05880920956,25658.657009107632
