risk_decile,n,weighted_population,avg_predicted_risk,observed_high_cost_rate,calibration_error,brier_score
1,269,3920201.42928,0.0039647061823860795,0.0024723026150164076,-0.0014924035673696719,0.0024802570577048644
2,269,4435107.988947,0.012572916784545961,0.006237708140353151,-0.00633520864419281,0.006233329386592294
3,269,4379491.077718999,0.01882961088749549,0.002772357202363282,-0.01605725368513221,0.003028685915401436
4,269,4051861.611886,0.027873075563444774,0.02812833726148657,2.552616980417942e-4,0.027241312999950258
5,269,3982702.3049420007,0.043415582463425126,0.028292060435493913,-0.015123522027931213,0.027456148895264588
6,269,3718394.927592998,0.0730223193934102,0.0427260179711039,-0.0302963014223063,0.04146516001056371
7,269,3562592.8058429994,0.1256363373067302,0.10709804771014698,-0.018538289596583227,0.09606070989051814
8,269,3705490.5534710013,0.18960308025421296,0.1806829476096894,-0.00892013264452357,0.147688780826888
9,269,3076996.9184909994,0.34365653628304627,0.40242277392018205,0.05876623763713579,0.23338484045596372
10,269,3087210.5458360002,0.7911523817999782,0.7245681796824975,-0.06658420211748062,0.17974080205662513
