risk_decile,n,weighted_population,weighted_high_cost_rate,avg_predicted_risk,avg_total_expenditure
1,269,3920201.42928,0.0024723026150164076,0.0039647061823860795,647.7316445032479
2,269,4435107.988947,0.006237708140353151,0.012572916784545961,1043.5675207168424
3,269,4379491.077718999,0.002772357202363282,0.01882961088749549,1198.3891221256386
4,269,4051861.611886,0.02812833726148657,0.027873075563444774,3646.7338931675
5,269,3982702.3049420007,0.028292060435493913,0.043415582463425126,3612.840804201106
6,269,3718394.927592998,0.0427260179711039,0.0730223193934102,6067.598058258918
7,269,3562592.8058429994,0.10709804771014698,0.1256363373067302,9359.79710451812
8,269,3705490.5534710013,0.1806829476096894,0.18960308025421296,12268.625140017262
9,269,3076996.9184909994,0.40242277392018205,0.34365653628304627,20096.326170414904
10,269,3087210.5458360002,0.7245681796824975,0.7911523817999782,35548.99591716932
