group_type,group,n,weighted_population,weighted_high_cost_rate,avg_predicted_risk,calibration_error,auc,recall_at_20pct_threshold,precision_at_20pct_threshold
Age,18-34,467,9417976.419401998,0.04817766889735007,0.0589943001578149,-0.01081663126046483,0.9095959595959596,0.776315255650952,0.5965006007514526
Age,35-49,562,9051033.940911004,0.06958535098351512,0.08979508655549967,-0.02020973557198455,0.9260989010989011,0.7697472206571785,0.4512359989536658
Age,50-64,699,8991230.174603006,0.17033453264081533,0.14685448990538963,0.0234800427354257,0.8973240418118467,0.6824501470846109,0.552490230801038
Age,65+,962,10459809.629091993,0.2243026365522553,0.2554963899397502,-0.031193753387494916,0.8786326787438906,0.8080568148913061,0.4797656139747841
Chronic burden,0,970,16480773.76030998,0.046713603632498366,0.06170853170103923,-0.014994928068540865,0.9417738803900233,0.7503070497063863,0.5549450294990935
Chronic burden,1,756,10562772.907893997,0.11393682086893897,0.11371207031591853,2.2475055302044467e-4,0.8881201666589794,0.632756192008727,0.45554733962463523
Chronic burden,2,551,6435454.477953002,0.23612808801739107,0.24266524251828717,-0.006537154500896092,0.8572850457498079,0.7766952234770725,0.5133485804179581
Chronic burden,3+,413,4441049.017851,0.33061529505082843,0.3560895569641155,-0.025474261913287055,0.849345892203035,0.8572233337425582,0.5041504217676277
Income,High Income,1087,17642765.186662,0.11415273629813816,0.13440614400069262,-0.02025340770255446,0.8973111432292039,0.7118004168697852,0.4435164670577125
Income,Low Income,368,4419914.369609002,0.1505837955464459,0.15518759323160156,-0.004603797685155647,0.9272291466922339,0.7410474038805356,0.5248533088207379
Income,Middle Income,724,10706258.406785998,0.14049951726502052,0.12956109502765095,0.010938422237369572,0.9075872097426498,0.7794030594361336,0.5820143265782906
Income,Near Poor,114,1236240.633908,0.2018108016158014,0.22139994390319004,-0.019589142287388644,0.9152739992226973,0.92579530547853806,0.5966690972629277
Income,Poor/Negative,397,3914871.5670429952,0.13486703881292395,0.1642867031796014,-0.02941966436667745,0.9113247863247863,0.8483704744282173,0.4791601257771849
Insurance,<65 Any Private,1206,20871566.31963101,0.08429273289811737,0.09478587818876044,-0.010493145290643074,0.9188683948155534,0.744329436267145,0.522449258519068
Insurance,<65 Public Only,351,4194301.822323997,0.19698803865697972,0.16809322006673577,0.028894818590243954,0.8941360132695872,0.6931667951747102,0.5453486474538028
Insurance,<65 Uninsured,171,2394372.392961,0.012330520700035857,0.0022487658177137524,0.010081754882322104,0.9201183431952663,0,NA
Insurance,65+ Medicare and Other Public,163,1481927.1758890003,0.26771644703121134,0.30540731914933417,-0.03769087211812283,0.9042553191489362,0.8428259506590071,0.43121425268755686
Insurance,65+ Medicare and Private,411,4948966.337700004,0.22849323809677277,0.2668844948531352,-0.03839125675636243,0.8628269878269879,0.8043789093826292,0.4596669015488006
Insurance,65+ Medicare Only,379,3961932.459202,0.2009742475663953,0.22558224141638322,-0.024607993849987936,0.8902928672649977,0.8186627986947712,0.5444263737009611
Insurance,65+ No Medicare Any Coverage,7,53128.891061999995,0.42114300288875095,0.09991182971023606,0.3212311731785149,0.2,0,NA
Insurance,65+ Uninsured,2,13854.765239,0,2.483921435865769e-7,-2.483921435865769e-7,NA,NA,NA
Race/ethnicity,Hispanic,453,5781360.514442002,0.062079581679856596,0.08868681529141186,-0.02660723361155526,0.9330686330119116,0.7174656863713654,0.41512244183500113
Race/ethnicity,Non-Hispanic Asian,128,1882650.5721889997,0.0791250428483897,0.06404347172384757,0.015081571124542129,0.9114219114219114,0.4417696901976213,0.4501499744264221
Race/ethnicity,Non-Hispanic Black,371,4528751.387455004,0.11413948163237207,0.113916160590351,2.2332104202106573e-4,0.9510903426791277,0.8066995739045807,0.6160854275118416
Race/ethnicity,Non-Hispanic Other/Multiple,66,1048216.934303,0.13014991811949164,0.0972783929325292,0.032871525186962444,0.9339285714285714,0.5609595255500167,0.8031660595453921
Race/ethnicity,Non-Hispanic White,1672,24679070.75561905,0.15397789870770517,0.16653879334860336,-0.012560894640898185,0.8904516264869986,0.7792649980655112,0.4960491007394969
