threshold,weighted_accuracy,weighted_precision,weighted_recall,weighted_specificity,outreach_cost_per_person,avoided_cost_value_per_true_positive,predicted_positive_weight,true_positive_weight,estimated_outreach_cost,estimated_value,estimated_net_value
0.05,0.6511273607203293,0.2669945052756588,0.9548134152444653,0.6054140056848144,25,500,17742140.805865,4737054.106993005,443553520.14662504,2368527053.4965024,1924973533.3498774
0.1,0.7582261393337795,0.34080168469629063,0.9076106635523153,0.7357395361767325,25,500,13212581.823894996,4502870.144771003,330314545.5973749,2251435072.3855014,1921120526.7881265
0.15000000000000002,0.82598454526149,0.41816545904571806,0.8432510855590496,0.8233854417626663,25,500,10004573.639973,4183567.128716,250114340.99932498,2091783564.358,1841669223.358675
0.2,0.8704283108755081,0.503187855378311,0.7615161561436709,0.886822675788775,25,500,7508251.369508005,3778060.904264,187706284.2377001,1889030452.132,1701324167.8943
0.25,0.8920311180756835,0.5727622375269871,0.6878482410531902,0.9227664258399036,25,500,5958104.101818004,3412577.0367759992,148952602.5454501,1706288518.3879995,1557335915.8425493
0.3,0.9030623530127362,0.6309474882299814,0.6241648252386948,0.9450443324804428,25,500,4907902.286986002,3096628.620451999,122697557.17465004,1548314310.2259994,1425616753.0513494
0.35000000000000003,0.9046246461170642,0.6576779708756995,0.5652162539661838,0.9557152250267131,25,500,4263744.578070998,2804170.8824379994,106593614.45177495,1402085441.2189996,1295491826.7672248
0.4,0.9092562810036054,0.6973346554130456,0.5414110002801368,0.9646274172982847,25,500,3851905.8166999985,2686067.4153719996,96297645.41749996,1343033707.6859999,1246736062.2684999
0.45,0.9084165587539963,0.7061722096762776,0.5137791194984429,0.967820673965222,25,500,3609571.5968509982,2548979.150532999,90239289.92127496,1274489575.2664995,1184250285.3452246
0.5,0.9080647581191793,0.7203766061610368,0.4859369970227136,0.9716069456048241,25,500,3346649.247826999,2410847.827161,83666231.19567497,1205423913.5805001,1121757682.3848252
0.55,0.9058120367737555,0.7326538647751204,0.44102760082703724,0.9757752623446678,25,500,2986460.382711001,2188041.7413910003,74661509.56777503,1094020870.6955001,1019359361.1277251
0.6,0.9055297384722844,0.771756956956661,0.39465589990904165,0.9824307249110286,25,500,2537043.3010440003,1957980.8176809996,63426082.52610001,978990408.8404999,915564326.3143998
