risk_decile,n,observed_high_cost_rate,avg_predicted_risk,avg_total_expenditure
1,269,0,0.0032460289613702948,423.5687732342006
2,269,0.0037174721189591076,0.01110291329019157,1001.4163568773237
3,269,0.0037174721189591076,0.017354875552722127,1559.1449814126397
4,269,0.022304832713754646,0.026958113354694134,4247.921933085501
5,269,0.04460966542750929,0.04233547949430599,4383.53531598513
6,269,0.06691449814126393,0.07221244130151196,6661.2676579925665
7,269,0.137546468401487,0.12120862475109122,11345.769516728627
8,269,0.23048327137546468,0.19897903859391552,12349.773234200742
9,269,0.31226765799256506,0.362458385365994,19466.15241635687
10,269,0.7955390334572491,0.8232233813210278,39322.34944237917
