segment_type,segment,rows,weighted_population,high_cost_rate,cost_barrier_rate,avg_total_expenditure,avg_self_paid_expenditure
Age,0-17,4327,72034152.82780993,0.020598696779469197,0.06596999684707035,2588.2813322107886,359.9684965615233
Age,18-34,4062,74904612.67794402,0.05736761860467238,0.16812665412607097,4298.554798844621,628.8084048090599
Age,35-49,4036,62867470.872103155,0.0846728759556972,0.17015491321052645,5868.8450672730705,1015.7696720364509
Age,50-64,4550,61882278.007921144,0.13943243842682299,0.19590072598940586,8805.401533549944,1179.349053171026
Age,65+,5261,58440068.43787695,0.2195765909938104,0.15842256242036568,13131.930105237387,1619.9332496041698
Age,Missing,195,2924660.013647001,0.262645436153152,0.05241717339166357,21638.308437457024,714.981109446367
Chronic burden,0,11631,191232399.89295554,0.04149346803448917,0.115468951120434,3429.6790231410846,598.7506781669076
Chronic burden,1,5280,76605328.93288092,0.10339823247549776,0.1639602712242754,7246.9832901403925,1076.7551917830494
Chronic burden,2,3184,39208244.265842,0.2146314752827732,0.22224661941421078,12780.192371508669,1551.7772578181784
Chronic burden,3+,2336,26007269.745623056,0.348426448108612,0.23922310786094989,20797.5457898366,1876.4854027763974
Income,High Income,8282,142333440.9785447,0.10036014696975705,0.10262155827435346,7166.282183759259,1227.7650017891353
Income,Low Income,3105,41160257.254929,0.10803411491145379,0.1938096560737777,6639.439730497736,696.622061835327
Income,Middle Income,6269,98698861.39575204,0.0916928088872311,0.16585936345211538,6095.378935357622,813.5946588577502
Income,Near Poor,1050,12512285.385884007,0.12956034685852616,0.20725758546785114,8828.17401895244,681.110783110087
Income,Poor/Negative,3725,38348397.822191924,0.10248944806981113,0.20939450003583013,6457.879543175065,375.0393691640132
Insurance,65+ Medicare Only,2098,23582807.606896017,0.19344209752285899,0.1629260159006876,11528.166335804746,1620.2785244136846
Insurance,65+ Medicare and Other Public,994,9129385.343501002,0.27591117380264235,0.19632020625494623,17848.70928454811,838.8641400981404
Insurance,65+ Medicare and Private,2192,26443223.691583037,0.23176534841047977,0.12873845731666933,13938.591742480932,1852.2047936041147
Insurance,65+ No Medicare Any Coverage,78,893274.1538239996,0.2481793068264233,0.23877599314378534,13373.511508526242,1651.6496127066475
Insurance,65+ Uninsured,37,264787.94285700005,0,0.17902327395851372,1323.8746653505334,512.7401227989478
Insurance,<65 Any Private,10774,189943901.67301852,0.07629638316153205,0.13049031709134237,5690.280551231982,966.1952130565921
Insurance,<65 Public Only,4689,61606209.26331494,0.08179613600060752,0.15127088582590958,5266.9625507237315,249.45568865113552
Insurance,<65 Uninsured,1569,21189653.162306968,0.017479763899763363,0.2912986718075658,1509.9614269137562,532.3867694462084
Race/ethnicity,Hispanic,4883,64164409.052657,0.049749127592733845,0.1504182297231075,3980.475581737266,392.87899494565806
Race/ethnicity,Non-Hispanic Asian,1220,20997757.927378997,0.059461087970445414,0.1058772175610801,4821.498235563803,783.5860611148025
Race/ethnicity,Non-Hispanic Black,3244,41481720.99496194,0.08399297680094228,0.1569366567633888,5609.9130491279275,548.0364965912966
Race/ethnicity,Non-Hispanic Other/Multiple,873,13461423.198843021,0.07031770376436541,0.11773639616606205,5629.4105415389095,622.8433617834438
Race/ethnicity,Non-Hispanic White,12211,192947931.66346025,0.12677654692370774,0.15344809066737947,8229.50171754872,1211.9859615794446
