group_type,group,n,high_cost_rate,avg_predicted_risk,auc
Age,18-34,469,0.07889125799573561,0.07824438160198148,0.9533908908908909
Age,35-49,545,0.09357798165137615,0.09726094771726218,0.9059299833293641
Age,50-64,712,0.14185393258426968,0.1663186944735144,0.9045875127610961
Age,65+,964,0.2551867219917012,0.2526447976266352,0.8665556989831736
Chronic burden,0,1004,0.06772908366533864,0.06608270711576125,0.9310583207642031
Chronic burden,1,740,0.13513513513513514,0.1349701131514938,0.894109375
Chronic burden,2,539,0.22820037105751392,0.2346796679564173,0.8426751094434022
Chronic burden,3+,407,0.3538083538083538,0.3905529831685926,0.8682139839459231
Income,High Income,1065,0.15023474178403756,0.1491953063310758,0.8900759668508287
Income,Low Income,347,0.19020172910662825,0.2162667570610465,0.9351881807397822
Income,Middle Income,780,0.1346153846153846,0.15175787373209043,0.8985679012345679
Income,Near Poor,111,0.21621621621621623,0.23545154099755597,0.9195402298850575
Income,Poor/Negative,387,0.20671834625322996,0.18922092596877957,0.9103827361563518
Insurance,65+ Medicare Only,383,0.2193211488250653,0.2327358435398624,0.8681716833890747
Insurance,65+ Medicare and Other Public,163,0.3128834355828221,0.3309797083358577,0.8443627450980392
Insurance,65+ Medicare and Private,402,0.26119402985074625,0.2417648411188425,0.8792047458714125
Insurance,65+ No Medicare Any Coverage,14,0.42857142857142855,0.2337569789527843,0.875
Insurance,65+ Uninsured,2,0,2.7122529144375886e-7,NA
Insurance,<65 Any Private,1199,0.1042535446205171,0.11830636297310729,0.9056759776536313
Insurance,<65 Public Only,349,0.17765042979942694,0.18571395800998688,0.9101944475665955
Insurance,<65 Uninsured,178,0.011235955056179775,0.008197985349092062,0.9971590909090909
Race/ethnicity,Hispanic,439,0.11845102505694761,0.09248615995396511,0.9273504273504274
Race/ethnicity,Non-Hispanic Asian,141,0.06382978723404255,0.043872183695956336,0.8653198653198653
Race/ethnicity,Non-Hispanic Black,376,0.14095744680851063,0.15464822348295829,0.9105087914013669
Race/ethnicity,Non-Hispanic Other/Multiple,69,0.15942028985507245,0.16553280337482584,0.8652037617554859
Race/ethnicity,Non-Hispanic White,1665,0.18618618618618618,0.20139064821085886,0.9022044994643494
