target,risk_decile,n,weighted_population,avg_predicted_risk,observed_rate,calibration_error,brier_score
Next-year high medical expenditure,1,72,4709243.8463280015,0.0015989057061275129,0.05482501970338983,0.05322611399726231,0.05458380379613439
Next-year high medical expenditure,2,72,5877532.083389998,0.0071811758825103935,0.012454241764985847,0.005273065882475453,0.012337081092962197
Next-year high medical expenditure,3,72,5262213.366056999,0.01878989072208566,0.0178786776503317,-9.112130717539579e-4,0.01771783109766645
Next-year high medical expenditure,4,72,3678836.9152489994,0.03391212401866828,0.02268234518581591,-0.011229778832852366,0.022555290669072935
Next-year high medical expenditure,5,72,5220949.954339001,0.05647034125782628,0.08484652068017831,0.02837617942235203,0.07875473021608655
Next-year high medical expenditure,6,72,4016780.206636,0.08623075744485852,0.07919574660855404,-0.007035010836304478,0.07319180113960015
Next-year high medical expenditure,7,72,3062386.036037,0.13333622950355328,0.1204541778496221,-0.012882051653931179,0.10852006874464895
Next-year high medical expenditure,8,72,3877548.3350799996,0.21654415152533915,0.25153404843627236,0.03498989691093321,0.1913088356635035
Next-year high medical expenditure,9,72,3174328.41431,0.37875136470736764,0.34911817738836315,-0.029633187319004495,0.23085467278912786
Next-year high medical expenditure,10,71,3210419.263170001,0.6461424095283826,0.7516794033795997,0.10553699385121706,0.19166277179058666
Next-year high Rx out-of-pocket burden,1,46,3521235.4660690003,0.006504926043461869,0,-0.006504926043461869,5.135757621226213e-5
Next-year high Rx out-of-pocket burden,2,46,2577936.6713349996,0.013698791742135938,0.026043596850744897,0.012344805108608959,0.025641375085792877
Next-year high Rx out-of-pocket burden,3,46,2357428.029216,0.023424762466978003,0.007913199325200165,-0.015511563141777839,0.008147536177492904
Next-year high Rx out-of-pocket burden,4,46,1964413.5741489998,0.03299953327922991,0.029468333152339144,-0.0035312001268907635,0.028534603709996744
Next-year high Rx out-of-pocket burden,5,46,2182953.319356999,0.045762760083224975,0.05118551271536688,0.005422752632141904,0.04863111398197223
Next-year high Rx out-of-pocket burden,6,46,2466795.172136,0.0655710021522967,0.05585481000868593,-0.009716192143610775,0.05268391985681265
Next-year high Rx out-of-pocket burden,7,46,2218367.378901999,0.09622345723940165,0.052370365020199094,-0.043853092219202555,0.05135203806929064
Next-year high Rx out-of-pocket burden,8,46,2377021.368087,0.17170584514254034,0.1839646184535246,0.012258773310984267,0.14952265942426388
Next-year high Rx out-of-pocket burden,9,46,2227074.1259639994,0.33274086762273786,0.36928961701802593,0.03654874939528807,0.23618869269484138
Next-year high Rx out-of-pocket burden,10,46,2409582.5874890005,0.6036535709722135,0.6639633981241588,0.06030982715194533,0.20602037723213884
