target,group_type,group,n,weighted_population,observed_rate,avg_predicted_risk,calibration_error,auc,recall_at_threshold,precision_at_threshold
Next-year high medical expenditure,Age,18-34,143,11338534.014803002,0.07553101665038127,0.05403378582212862,0.021497230828252646,0.6323155216284987,0.3602181497563679,0.3318496220375408
Next-year high medical expenditure,Age,35-49,142,9159966.601594005,0.11323458365486873,0.08036935395634125,0.03286522969852748,0.8578823529411764,0.5579208206587368,0.6301146305189823
Next-year high medical expenditure,Age,50-64,204,12431128.737196995,0.19761138597772313,0.14378533854028827,0.053826047437434854,0.8755050127188388,0.7423363535698667,0.6334079263930213
Next-year high medical expenditure,Age,65+,230,9160609.067002002,0.1949071087919846,0.2513989772028429,-0.056491868410858265,0.8546245421245421,0.7728980514361994,0.3369854935901942
Next-year high medical expenditure,Chronic burden,0,267,18037394.646281,0.08224860745345407,0.060409493542264076,0.021839113911189992,0.7517818959372773,0.2534512488763377,0.31153485744652004
Next-year high medical expenditure,Chronic burden,1,172,11298501.544973996,0.09333734119938354,0.09044483808712271,0.0028925031122608302,0.7904647435897436,0.6539734317630855,0.47798391814867053
Next-year high medical expenditure,Chronic burden,2,140,7497569.170665,0.2050274548685033,0.18472579341151737,0.02030166145698592,0.8713886300093197,0.7428661088552777,0.4675063599271112
Next-year high medical expenditure,Chronic burden,3+,140,5256773.058676003,0.3919336405977394,0.36956339312736924,0.02237024747037014,0.7857777777777778,0.914006373451539,0.5049078716399237
Next-year high medical expenditure,Income,High Income,260,19657757.808905005,0.15342377887725128,0.12271961387521187,0.030704165002039416,0.8006102693602694,0.5745927135851514,0.4727723898017215
Next-year high medical expenditure,Income,Low Income,107,5886521.047819997,0.12489945431967515,0.13319999849127925,-0.008300544171604099,0.8028846153846154,0.8872755479210926,0.4034056015134935
Next-year high medical expenditure,Income,Middle Income,188,10547284.599715002,0.11958121549958747,0.11712068697468461,0.0024605285249028608,0.8736942070275404,0.7156919979357369,0.4801547697577131
Next-year high medical expenditure,Income,Near Poor,39,1254738.250419,0.1926627507340868,0.17500528781613045,0.017657462917956362,0.9717741935483871,1,0.73800250848104
Next-year high medical expenditure,Income,Poor/Negative,125,4743936.713736999,0.1858050131532313,0.16607688479990715,0.01972812835332416,0.8234323432343235,0.6364881802895814,0.4212089139924676
Next-year high medical expenditure,Insurance,<65 Any Private,297,23380710.801552996,0.12685876977332908,0.08858404532160337,0.03827472445172571,0.7769230769230769,0.5663609826753419,0.545989587476475
Next-year high medical expenditure,Insurance,<65 Public Only,126,5883239.532009,0.2167267283874461,0.16626240556686658,0.05046432282057953,0.8451612903225807,0.781462662773499,0.6457413472820587
Next-year high medical expenditure,Insurance,<65 Uninsured,66,3665679.020031999,0.029753046983379335,0.0237170432957332,0.006036003687646136,0.9609375,0.316284394144755,0.32167422358051484
Next-year high medical expenditure,Insurance,65+ Medicare and Other Public,46,1442080.8050369995,0.1594633617081533,0.2547505174078014,-0.0952871556996481,0.9019607843137255,1,0.29565000699169663
Next-year high medical expenditure,Insurance,65+ Medicare and Private,92,4389018.574318001,0.20777126200421692,0.2417964153194471,-0.03402515331523018,0.8219607843137255,0.6600765065369655,0.33795869892301333
Next-year high medical expenditure,Insurance,65+ Medicare Only,89,3250703.1536290008,0.19798696356894513,0.266724899252192,-0.06873793568324688,0.8398496240601504,0.8516106240058849,0.3634796871004395
Next-year high medical expenditure,Insurance,65+ No Medicare Any Coverage,3,78806.53401799999,0,0.09268888262041328,-0.09268888262041328,NA,NA,0
Next-year high medical expenditure,Race/ethnicity,Hispanic,151,7580561.943822001,0.10610893633189566,0.09076381459813546,0.015345121733760209,0.9186176142697882,0.8566618792429421,0.5707568170450252
Next-year high medical expenditure,Race/ethnicity,Non-Hispanic Asian,35,2530141.6381380004,0.04702962712536882,0.0504468451497638,-0.0034172180243949857,0.029411764705882353,0,0
