term,estimate,std.error,statistic,p.value,odds_ratio,conf_low,conf_high
(Intercept),-2.82773120047699,0.3112248182499877,-9.085815252065302,5.200520917200087e-17,0.059146894001528116,0.03213749556962621,0.10885587093894047
general_healthPoor,1.5022709681004294,0.23156208349744845,6.487551612122987,5.401231337492482e-10,4.491878408704924,2.8531090215296984,7.071924516845686
general_healthFair,1.2532102010662458,0.14310665412677387,8.757176308210411,4.679835550857234e-16,3.5015656640799615,2.645132501069259,4.635292218785794
poverty_categoryNear Poor,1.1579039036325522,0.19336074519452376,5.988309066908507,8.221716876133775e-9,3.183253871347317,2.179110667876727,4.6501104137685365
poverty_categoryPoor/Negative,0.9512762507748204,0.13074238700031085,7.275959025993297,5.551894850534085e-12,2.589011779990831,2.0037514974281527,3.345216213454951
poverty_categoryLow Income,0.906847450731859,0.12950183648804858,7.002583710969611,2.815714251600462e-11,2.4765029165403627,1.9213419058539984,3.192074600021226
insurance_status<65 Uninsured,0.8171711193062369,0.15473673797540272,5.281041399723291,3.003627078549635e-7,2.26408594072854,1.6717769670871852,3.066249414798468
general_healthGood,0.7785991883927618,0.12678858044455923,6.140925197385733,3.6321880140384683e-9,2.1784185731510135,1.6990912863780374,2.792967934033329
poverty_categoryMiddle Income,0.6670842130232827,0.09507425123565444,7.0164550796179705,2.5953753609081668e-11,1.9485474801196159,1.6172686060175108,2.3476850216181067
insurance_status65+ Medicare and Private,-0.5782013718746344,0.13788377393040982,-4.19339676738507,3.9407851359749724e-5,0.5609063217113569,0.4280764110783044,0.7349526710506229
general_healthVery Good,0.4739231706867345,0.12008440355577032,3.9465838747879713,1.0573387957673283e-4,1.6062835726228049,1.2694169996992657,2.0325447952005824
insurance_status65+ Medicare and Other Public,-0.3827471339009385,0.17304935241351985,-2.211780215081785,0.02797877796667296,0.6819853284539495,0.4858167107302048,0.9573651501764293
insurance_status65+ Medicare Only,-0.33005227314191393,0.1466103866937425,-2.251220261981622,0.025329176337598933,0.7188861540117889,0.5393402578623584,0.9582027206316018
regionWest,0.2642006697784071,0.1222764338532605,2.160683473116862,0.03176669720485307,1.3023895202965408,1.0248424151214335,1.6551017381313875
race_ethnicityNon-Hispanic Other/Multiple,-0.23924104981792668,0.22268142689926346,-1.0743646344881492,0.2837999569681855,0.7872250990331979,0.5088018420708639,1.2180053319490844
insurance_status65+ Uninsured,-0.2384284661994062,0.5911187099498745,-0.40335124262878497,0.687069514105513,0.7878650452224428,0.247332637531654,2.509702462554784
race_ethnicityNon-Hispanic Asian,-0.21359309273322472,0.20684681619827583,-1.0326148434814784,0.3028830662648495,0.8076769677941915,0.5384757303001454,1.211460512698697
sexMale,-0.21204989623379808,0.06294800035009718,-3.368651824592403,8.873399514189827e-4,0.808924334281812,0.7150320036644473,0.9151458609401663
regionNortheast,-0.18758276927926648,0.13620958137879324,-1.37716280587932,0.169818400069285,0.8289605028774564,0.6347312812545455,1.0826243098853487
race_ethnicityNon-Hispanic White,0.13663885739779902,0.12924714815888488,1.0571905016413006,0.291548408932919,1.1464140547965074,0.8898649645486577,1.4769265421091937
er_visits,0.12769291331429505,0.0491614280393912,2.5974207505115503,0.010006780323204975,1.1362040359865917,1.0318326719779565,1.2511327141032802
insurance_status65+ No Medicare Any Coverage,-0.11661793875793867,0.4427418960176949,-0.2633993751367904,0.7924817083683671,0.8899251341222281,0.37366632649020404,2.1194490597568674
race_ethnicityNon-Hispanic Black,0.09340221368541772,0.16268863001545494,0.5741164190548829,0.5664574645459005,1.0979032381805338,0.7981429987600925,1.5102450591934855
chronic_count,0.09081885494711289,0.03568156836624916,2.545259614569452,0.011583007523366906,1.0950706206653185,1.021102556194214,1.1743968879226288
regionSouth,0.0732597564695774,0.1063270755329375,0.6890037754013402,0.49152451847025425,1.0760100011759426,0.8735924542396573,1.3253291245954686
insurance_status<65 Public Only,-0.053459551730209005,0.1201404478818865,-0.4449754655714836,0.6567614875469153,0.9479442829344685,0.7490610204342801,1.1996330593029214
office_visits,0.04779388592697958,0.01111227553088685,4.300998998282149,2.526362485322493e-5,1.0489544287718413,1.0263551386449414,1.072051332146836
inpatient_discharges,-0.03489648295010514,0.08217262165227912,-0.42467286851054553,0.6714773978170505,0.9657053780554059,0.822049372888446,1.1344657729356222
outpatient_visits,0.02629043942190553,0.015485104710315053,1.6977889341873644,0.0909179910285008,1.026639081637911,0.9959478663293431,1.0582760800832895
dental_visits,-0.02206955327406944,0.026372883332781805,-0.8368274714443803,0.4035696460971232,0.9781721976061767,0.9288942259591415,1.030064372702629
education_years,0.011981208584367171,0.015322827759965898,0.7819188972201718,0.4350770539680374,1.0120532707737362,0.9821104191475317,1.0429090282667648
home_health_days,-0.007735609301695704,0.00744858993871735,-1.0385333822025085,0.3001267469780548,0.9922942335235468,0.9779127304655695,1.0068872356486323
age,-0.005928193262204728,0.0035692948752367253,-1.6608863849646367,0.09811680898120312,0.9940893438039867,0.987159145191696,1.0010681948073734
